THE, 2
TRAGEDY, 1
OF, 2
HAMLET,, 1
PRINCE, 1
DENMARK, 1
by, 92
William, 1
Shakespeare, 1
Dramatis, 1
Personae, 1
Claudius,, 2
King, 34
of, 625
Denmark., 7
Marcellus,, 4
Officer., 1
Hamlet,, 27
son, 11
to, 608
the, 929
former,, 1
and, 680
nephew, 3
present, 4
king., 3
Polonius,, 6
Lord, 13
Chamberlain., 1
Horatio,, 15
friend, 4
Hamlet., 25
Laertes,, 16
Polonius., 14
Voltemand,, 4
courtier., 7
Cornelius,, 2
Rosencrantz,, 6
Guildenstern,, 5
Osric,, 4
A, 87
Gentleman,, 1
Priest., 3
officer., 2
Bernardo,, 2
Francisco,, 2
a, 453
soldier, 2
Reynaldo,, 2
servant, 2
Players., 5
Two, 4
Clowns,, 2
gravediggers., 1
Fortinbras,, 6
Prince, 1
Norway., 1
Norwegian, 1
Captain., 1
English, 2
Ambassadors., 2
Getrude,, 1
Queen, 16
Denmark,, 3
mother, 14
Ophelia,, 12
daughter, 8
Ghost, 7
Hamlet's, 9
Father., 1
Lords,, 2
ladies,, 1
Officers,, 1
Soldiers,, 1
Sailors,, 2
Messengers,, 1
Attendants., 2
SCENE.-, 1
Elsinore., 21
ACT, 4
I., 9
Scene, 20
platform, 3
before, 13
Castle., 15
Enter, 66
two, 19
Sentinels-[first,], 1
[who, 2
paces, 1
up, 28
down, 14
at, 75
his, 284
post;, 1
then], 2
approaches, 1
him]., 2
Ber., 19
Who's, 1
there.?, 1
Fran., 8
Nay,, 22
answer, 8
me., 35
Stand, 2
unfold, 2
yourself., 4
Long, 2
live, 13
King!, 1
Bernardo?, 1
He., 1
You, 72
come, 44
most, 70
carefully, 1
upon, 38
your, 217
hour., 1
'Tis, 36
now, 36
struck, 4
twelve., 2
Get, 5
thee, 35
bed,, 2
Francisco., 1
For, 69
this, 203
relief, 1
much, 44
thanks., 2
bitter, 2
cold,, 2
And, 259
I, 523
am, 52
sick, 4
heart., 4
Have, 16
you, 361
had, 37
quiet, 4
guard?, 1
Not, 15
mouse, 1
stirring., 1
Well,, 9
good, 71
night., 7
If, 51
do, 105
meet, 3
Horatio, 8
The, 152
rivals, 1
my, 444
watch,, 6
bid, 5
them, 43
make, 43
haste., 2
Marcellus., 4
think, 36
hear, 22
them., 16
Stand,, 1
ho!, 6
Who, 21
is, 299
there?, 2
Hor., 108
Friends, 2
ground., 4
Mar., 31
liegemen, 1
Dane., 4
Give, 21
O,, 59
farewell,, 1
honest, 6
soldier., 1
hath, 55
reliev'd, 1
you?, 13
Bernardo, 2
place., 2
Exit., 17
Holla,, 1
Bernardo!, 1
Say-, 1
What,, 13
there, 37
?, 2
piece, 6
him., 32
Welcome,, 5
Horatio., 11
has, 11
thing, 13
appear'd, 3
again, 9
to-night?, 2
have, 160
seen, 17
nothing., 4
says, 7
'tis, 35
but, 139
our, 107
fantasy,, 1
will, 130
not, 259
let, 52
belief, 1
take, 26
hold, 21
him, 121
Touching, 2
dreaded, 1
sight,, 3
twice, 4
us., 6
Therefore, 7
entreated, 1
along,, 1
With, 43
us, 46
watch, 7
minutes, 1
night,, 13
That,, 9
if, 60
apparition, 2
come,, 9
He, 51
may, 59
approve, 2
eyes, 10
speak, 36
it., 34
Tush,, 1
tush,, 1
'twill, 3
appear., 1
Sit, 1
awhile,, 5
once, 10
assail, 1
ears,, 2
That, 118
are, 118
so, 96
fortified, 1
against, 19
story,, 1
What, 90
we, 101
nights, 3
seen., 2
sit, 7
down,, 6
this., 7
Last, 1
night, 13
all,, 7
When, 29
yond, 1
same, 10
star, 4
that's, 8
westward, 1
from, 83
pole, 1
Had, 7
made, 28
course, 4
t', 3
illume, 1
that, 225
part, 18
heaven, 18
Where, 24
it, 266
burns,, 2
Marcellus, 1
myself,, 3
bell, 2
then, 18
beating, 2
one-, 2
Ghost., 20
Peace!, 3
break, 4
off!, 1
Look, 14
where, 26
comes, 18
again!, 4
In, 38
figure,, 1
like, 67
dead., 4
Thou, 14
art, 12
scholar;, 1
it,, 38
Looks, 1
King?, 3
Mark, 5
Most, 12
like., 4
It, 61
harrows, 1
me, 144
with, 224
fear, 12
wonder., 1
would, 62
be, 187
spoke, 2
to., 2
Question, 1
thou, 83
usurp'st, 1
time, 32
Together, 3
fair, 14
warlike, 5
form, 11
which, 38
majesty, 4
buried, 5
Denmark, 9
Did, 13
sometimes, 3
march?, 1
By, 19
charge, 4
speak!, 4
offended., 3
See,, 1
stalks, 1
away!, 4
Stay!, 1
Speak,, 2
Exit, 10
gone, 4
answer., 2
How, 58
now,, 20
Horatio?, 2
tremble, 2
look, 18
pale., 2
Is, 28
something, 10
more, 68
than, 38
fantasy?, 1
on't?, 2
Before, 4
God,, 6
might, 28
believe, 15
Without, 4
sensible, 1
true, 13
avouch, 1
Of, 43
mine, 21
own, 36
eyes., 3
As, 70
thyself., 2
Such, 6
was, 70
very, 57
armour, 2
he, 149
on, 99
th', 60
ambitious, 2
Norway, 2
combated., 1
So, 43
frown'd, 1
when,, 1
in, 382
an, 50
angry, 1
parle,, 1
smote, 1
sledded, 1
Polacks, 1
ice., 1
strange., 2
Thus, 9
before,, 3
jump, 2
dead, 16
hour,, 2
martial, 1
stalk, 1
watch., 1
what, 100
particular, 7
thought, 7
work, 6
know, 56
not;, 2
But,, 14
gross, 3
scope, 2
opinion,, 1
This, 50
bodes, 1
some, 51
strange, 4
eruption, 1
state., 3
Good, 26
tell, 36
knows,, 2
Why, 23
strict, 2
observant, 1
nightly, 1
toils, 1
subject, 2
land,, 4
why, 8
such, 48
daily, 1
cast, 6
brazen, 1
cannon, 4
foreign, 1
mart, 1
for, 162
implements, 1
war;, 1
impress, 1
shipwrights,, 1
whose, 21
sore, 3
task, 1
Does, 3
divide, 2
Sunday, 1
week., 1
toward,, 1
sweaty, 1
haste, 8
Doth, 4
joint-labourer, 1
day?, 2
is't, 8
can, 29
inform, 2
me?, 10
At, 12
least,, 1
whisper, 2
goes, 9
so., 19
Our, 13
last, 10
king,, 7
Whose, 11
image, 3
even, 13
us,, 15
Was,, 1
as, 144
know,, 12
Fortinbras, 4
Norway,, 9
Thereto, 1
prick'd, 1
emulate, 1
pride,, 1
Dar'd, 1
combat;, 1
valiant, 2
Hamlet, 28
(For, 2
side, 1
known, 5
world, 17
esteem'd, 1
him), 1
slay, 1
Fortinbras;, 2
who,, 4
seal'd, 3
compact,, 1
Well, 4
ratified, 1
law, 3
heraldry,, 1
forfeit,, 1
life,, 12
all, 83
those, 19
lands, 4
Which, 19
stood, 3
seiz'd, 1
of,, 1
conqueror;, 1
Against, 4
moiety, 1
competent, 1
Was, 6
gaged, 1
king;, 2
return'd, 3
To, 119
inheritance, 1
been, 25
vanquisher,, 1
as,, 2
comart, 1
carriage, 1
article, 1
design'd,, 1
His, 18
fell, 6
Now,, 8
sir,, 29
young, 14
unimproved, 1
mettle, 1
hot, 5
full,, 2
Hath, 8
skirts, 1
here, 28
there,, 6
Shark'd, 1
list, 3
lawless, 2
resolutes,, 1
food, 1
diet,, 1
enterprise, 1
stomach, 1
in't;, 1
no, 88
other,, 4
doth, 24
well, 28
appear, 2
unto, 4
state,, 5
But, 115
recover, 3
strong, 3
hand, 13
terms, 3
